Username,Checked,Status count,Start date,Favorites,Location,Website,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimothyNoah1,1,366,12/14/11 21:28,0,"Washington, D.C.",http://www.tnr.com/blogs/timothy-noah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quinnnorton,1,12221,5/10/09 2:12,217,No fixed address,http://www.quinnnorton.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
stephenfgordon,1,7846,3/3/10 22:55,0,Quebec City,http://worthwhile.typepad.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidplotz,1,702,4/28/09 20:21,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
amaeryllis,1,18557,2/4/11 5:49,15,"new york, ny",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nouriel,1,4195,1/20/09 7:48,1,New York,http://www.roubini.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
itscompliKATEd,1,4583,3/20/08 4:13,29,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MilesGrant,1,14305,10/31/08 20:50,0,"Falls Church, VA",http://TheGreenMiles.blogspot.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MichaelMandel,1,220,8/3/09 1:57,0,NYC/Philly/DC,http://innovationandgrowth.wordpress.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CondeElevator,1,36,8/6/11 17:18,0,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lvassy,1,62,7/25/10 3:17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jmpalmieri,1,345,2/25/09 13:55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aaronsw,1,3963,3/28/07 17:52,2790,"Cambridge, MA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michelleinbklyn,1,2048,11/6/10 17:48,10,,http://www.michellegoldberg.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cschweitz,1,17779,2/23/09 20:59,4,NYC,http://www.callieschweitzer.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
leet,1,1437,4/7/07 19:09,1,"Washington, DC",http://www.manifestdensity.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarketUrbanism,1,9290,5/22/09 3:28,11,,http://marketurbanism.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TP_Green,1,1443,5/26/11 19:22,0,,http://green.thinkprogress.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis_Waldron,1,11397,11/13/08 2:59,48,"Washington, DC via KY",http://thinkprogress.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TPJustice,1,1517,5/26/11 19:19,0,"Washington, DC",http://justice.thinkprogress.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jesseclee44,1,1425,2/11/10 19:14,0,White House,http://www.whitehouse.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dudeitor,1,60,5/18/11 17:06,0,New York. Obviously.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
siforg,1,112,10/21/09 6:05,3,Singapore,http://www.sif.org.sg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
interfluidity,1,8602,5/7/09 6:41,3630,,http://www.interfluidity.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dcra,1,6595,8/11/08 16:43,7,DC,http://dcra.dc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MarieSDiamond,1,5623,7/1/09 2:30,9,"Washington, DC",http://thinkprogress.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UrbanLandInst,1,3978,5/30/08 15:53,0,Worldwide,http://www.uli.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
franceintheus,1,1720,6/1/09 16:28,0,"Washington, D.C.",http://www.franceintheus.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
haroldpollack,1,5029,12/25/09 14:45,45,,http://www.ssa.uchicago.edu/faculty/h-pollack.shtml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jamellesbowtie,1,18,4/13/11 20:07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
somanader,1,4832,10/1/09 13:26,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLind,1,7279,4/22/08 6:29,51,"Washington, DC",http://www.daralind.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamWeinstein,1,12657,2/12/09 22:21,163,SF/DC/Tallahassee,http://motherjones.com/authors/adam-weinstein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sissenberg,1,395,2/6/09 20:22,926,,http://www.thevictorylab.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SuzyKhimm,1,8468,12/16/08 22:17,1,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
shani_o,1,18501,2/11/08 23:08,5,The District,http://shaniohilton.wordpress.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dsquareddigest,1,4455,11/2/10 10:14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lydiadepillis,1,3511,2/21/09 21:34,10,"Washington, DC",http://www.washingtoncitypaper.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jonathanchait,1,1202,6/24/09 21:26,4,"Washington, D.C.",http://nymag.com/author/jonathan%20chait,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREVAgroup,1,307,9/27/09 17:31,1,"Paris, France",http://www.areva.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AREVAinc,1,1344,4/10/09 13:03,2,"Bethesda, MD",http://us.arevablog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DLeonhardt,1,2064,7/18/10 23:44,0,"Washington, D.C.",http://www.nytimes.com/leonhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lizzieohreally,1,21290,6/27/09 15:10,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidfrum,1,7464,1/6/09 18:03,1,,http://www.thedailybeast.com/davidfrum.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elise_foley,1,7693,5/11/10 15:42,2,"Washington, DC",http://www.huffingtonpost.com/elise-foley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
armsmasher,1,6279,8/26/07 22:15,10,District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ryanavent,1,4384,11/3/08 22:08,0,"Washington, DC",http://www.ryanavent.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KerryHowley,1,682,2/16/09 4:59,0,Iowa City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NickYglesias,1,17,12/3/10 19:15,0,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
asymco,1,7046,2/1/10 21:02,17,,http://www.asymco.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HBoushey,1,885,11/15/10 14:48,1,"Washington, DC",http://www.americanprogressaction.org/experts/BousheyHeather.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rafaelyglesias,1,511,11/12/10 22:33,1,NYC,http://rafaelyglesias.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
saramead,1,1567,7/6/09 14:05,2,"Washington, D.C. ",http://blogs.edweek.org/edweek/sarameads_policy_notebook/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb_boell,1,4384,6/11/09 6:04,2,Tel Aviv,http://www.il.boell.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnikoff,1,14405,1/15/08 0:03,0,"Brooklyn, NY",http://resnikoff.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smithsj,1,9011,11/19/08 6:23,17,"Villanova, PA",http://blogs.forbes.com/stephensmith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pemalevy,1,3226,7/29/09 6:00,0,"Washington, D.C. ",http://2012.talkingpointsmemo.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTMcNeely,1,6790,2/28/09 15:45,0,"Lambertville, NJ",http://www.facebook.com/ryanmcneely,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robynkonichiwa,1,2455,2/2/09 11:25,6,Stockholm,http://robyn.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RubenGallego,1,1523,6/21/09 3:26,17,"Phoenix, Arizona",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matthewstoller,1,7298,3/23/07 17:05,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbarro,1,26503,9/11/08 17:57,12,"Sunnyside, New York",http://blogs.forbes.com/joshbarro/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rortybomb,1,4529,6/17/09 21:56,36,Brooklyn,http://rortybomb.wordpress.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m_rhee,1,912,10/12/10 20:55,0,,http://www.StudentsFirst.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshuafoust,1,68090,10/22/08 4:20,209,"Washington, DC area",http://www.registan.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
irincarmon,1,13348,2/13/09 19:55,36,,http://www.irincarmon.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
crampell,1,10186,4/10/08 3:37,0,,http://topics.nytimes.com/top/reference/timestopics/people/r/catherine_rampell/index.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eatkushi,1,535,4/20/09 19:24,0,washington dc,http://eatkushi.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dccityvista,1,211,6/17/10 17:05,0,"5th & K St. NW Washington, DC",http://www.edensandavant.com/oc_center_detail.asp?cid=1022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaKorean,1,1654,5/5/10 13:20,3,"Washington, DC",http://www.takorean.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
housingcomplex,1,3271,4/2/09 17:30,0,Washington D.C.,http://www.washingtoncitypaper.com/blogs/housingcomplex/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TommyWells,1,2330,6/22/09 18:30,9,"Washington, DC",http://tommywells.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scootes,1,2038,1/12/09 22:41,0,"New York, NY",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kaysteiger,1,7058,12/1/08 0:13,4,"Washington, DC",http://www.rawstory.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ModeledBehavior,1,16000,6/26/10 16:45,4,Creature of the Interwebs,http://www.modeledbehavior.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dahlialithwick,1,2754,4/22/10 14:01,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
reihansalam,1,13285,4/1/08 15:33,0,"New York, NY",http://www.reihansalam.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fivethirtyeight,1,5816,8/27/08 20:56,6,New York,http://fivethirtyeight.blogs.nytimes.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kristoncapps,1,4673,3/20/09 20:31,5,"Washington, D.C.",http://grammarpolice.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PinnaStorm,1,805,7/27/10 14:31,1,D.C.,http://www.pinnastorm.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neil_Irwin,1,1604,6/15/10 20:06,2,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ArturoGalletti,1,3570,6/29/10 18:17,3,Puerto Rico,http://wagesofwins.net/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tjl,1,10119,1/28/07 18:49,65,"Washington, DC",http://www.sunlightlabs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
delong,1,18951,12/2/07 3:10,37,"Berkeley, California",http://delong.typepad.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbplainblog,1,4978,12/17/09 5:12,0,,http://plainblogaboutpolitics.blogspot.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanehisi,1,5499,6/4/10 16:49,0,Harlem,http://www.theatlantic.com/ta-nehisi-coates/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
willwilkinson,1,5742,3/27/07,14,,http://willwilkinson.net/flybottleUsername,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JarrettBarrios,1,1468,6/15/09 15:49,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sommermathis,1,2317,4/23/10 0:25,0,"Washington, D.C.",http://theatlanticcities.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ambelenky,1,212,1/21/08 0:16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SaraLang,1,28212,8/6/08 20:38,4,Chicago,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felixsalmon,1,17559,9/22/08 4:51,56,,http://reuters.com/felix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Atrios,1,11212,8/1/08 16:45,2,Philadelphia,http://eschatonblog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
neeratanden,1,613,3/22/10 21:47,0,DC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AndersFoghR,1,646,8/3/09 5:11,0,Brussels,http://andersfogh.info,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OKnox,1,23471,1/2/08 20:58,1,"Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ChasLicc,1,2940,2/11/09 23:08,1,Sydney,http://www.twitter.com/chas_usa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NorwayUSpolitix,1,37,1/30/10 2:45,0,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAPAction,1,11701,7/23/08 3:36,4,,http://www.americanprogressaction.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kjhealy,1,3795,2/20/07 5:00,3,North Carolina,http://kieranhealy.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JoeLieberman,1,526,10/21/09 18:28,0,,http://lieberman.senate.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
foxjust,1,2694,4/22/09 2:22,1,Boston,http://blogs.hbr.org/fox/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
robertliefeld,1,18250,9/6/08 20:30,106,orange county,http://robliefeld.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tylercowen,1,2188,8/28/07 22:07,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CitizenCohn,1,8240,2/23/09 5:46,1,"Ann Arbor, Michigan",http://www.tnr.com/blogs/jonathan-cohn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCist_Updates,1,7418,7/2/08 4:08,0,"Washington, DC",http://www.dcist.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
maxmarginal,1,1971,10/18/07 7:04,0,Tinseltown!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jtlevy,1,3132,5/26/08 18:36,2,"Montreal, Quebec",http://jacobtlevy.blogspot.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nplusonemag,1,2032,7/1/09 17:53,1,"iPhone: 40.704666,-73.928680",http://www.nplusonemag.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AnnieLowrey,1,4628,5/2/09 21:00,1,Washington,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keelinmc,1,2011,1/14/09 21:52,5,"Chicago, IL",http://www.keelinmcdonell.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
annfriedman,1,2852,2/5/09 14:52,0,Los Angeles,http://www.good.is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jbouie,1,29893,3/21/08 12:46,166,"Washington, D.C.",http://prospect.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dceiver,1,19032,3/1/08 19:32,13,"Washington, DC",http://flavors.me/dceiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RedRocksDC,1,409,6/22/09 14:33,2,Columbia Heights,http://www.redrocksdc.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tnr,1,16800,10/15/09 19:15,1,"Washington, DC",http://www.tnr.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FakeAPStylebook,1,1986,10/20/09 17:06,0,,http://www.thebureauchiefs.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandriulli,`,3213,8/6/08 2:04,0,,,,,,,,,,,,,,,,,,,,Username,Checked,Status count,Start date,Favorites,Location,Website,,,,,,,,,,,,,,,,,,
Working_Nation,1,1403,4/16/09 17:37,2,USA,http://www.americanprogress.org/projects/working_nation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JeffreyYoung_HC,1,1921,10/5/09 19:59,0,"Washington, D.C.",http://www.huffingtonpost.com/jeffrey-young,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
brianbeutler,1,22410,2/23/09 21:31,6,"Washington, DC",http://www.talkingpointsmemo.com/brianbeutler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tweetprogress,1,75,7/28/09 1:52,0,United States,http://tweetprogress.us/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drfarls,1,9884,6/26/09 15:02,1,Cincinnati,http://www.lawyersgunsmoneyblog.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
joshtpm,1,12770,2/19/09 2:41,5,New York City,http://talkingpointsmemo.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CenterOnBudget,1,3280,5/7/09 20:16,2,"Washington, D.C.",http://cbpp.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pourmecoffee,1,17193,10/22/08 14:33,0,USA,http://pourmecoffee.posterous.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
colincookman,1,7448,8/14/09 18:45,0,,http://colincookman.wordpress.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gabrielarana,1,2546,7/12/08 12:15,3,"Washington, DC",http://www.gabrielarana.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sportsguy33,1,8197,4/18/09 3:37,0,Los Angeles (via Boston),http://www.grantland.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
metacommentary,1,2313,5/8/09 19:21,0,"Cambridge, MA",http://metacommentary.wordpress.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
zhuli,1,3786,4/18/08 0:41,7,"New York, NY",http://julieblitzer.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
drgrist,1,48183,3/4/09 5:14,1,"Seattle, WA",http://www.grist.org/people/David+Roberts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Katulis,1,3744,7/15/09 19:07,0,"Washington, DC",http://www.americanprogress.org/aboutus/staff/KatulisBrian.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
echomikeromeo,1,3539,7/13/08 2:00,0,"Princeton, NJ",http://worthlessdrivel.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
petersuderman,1,13669,4/11/07 2:05,5,"iPhone: 38.895195,-77.011452",http://reason.com/blog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
erinrileyau,1,20628,3/7/08 7:04,23,"Sydney, Australia",http://www.erinriley.com.au,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lauraolin,1,17594,3/2/08 17:50,1474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xMAdMx,1,1975,4/9/09 19:40,1,the north east,http://xmadmx.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TimFernholz,1,9423,4/29/09 19:03,0,L.A.,http://www.good.is,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metric,1,593,1/29/09 17:34,0,All over,http://www.ilovemetric.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexgutierrez,1,1458,10/16/08 3:53,3,"Unalaska, Alaska",http://alexandragutierrez.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grist,1,19894,7/2/07 23:00,34,"Seattle, WA",http://www.grist.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KHNews,1,3461,3/12/09 18:26,8,"Washington, D.C.",http://www.kaiserhealthnews.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
elliottjustin,1,10055,5/18/09 16:51,9,New York,http://www.propublica.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cirincione,1,6981,3/4/09 22:08,18,"Washington, DC",http://www.ploughshares.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dylanmatt,1,6310,8/22/08 20:54,1,"Washington, DC",http://minipundit.typepad.com/minipundit/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MattZeitlin,1,9470,1/15/08 9:57,8,"Evanston, Illinois",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lhfang,1,3466,8/2/07 6:21,2,,http://www.republicreport.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
victorzapanta,1,4930,3/21/07 15:22,54,"U Street / Washington, DC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
whitehouse,1,5470,4/10/09 21:10,2,"Washington, DC USA",http://www.whitehouse.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
