Post Number,Title,Date,Author,Categories,Graphics,Length
30,Philosophy of Bayesian statistics: my reactions to Cox and Mayo,"<span class=""postdate"">1 February 2012, 9:45 am</span>",Andrew,['Bayesian Statistics'],-1,1
31,"&#8220;the forces of native stupidity reinforced by that blind hostility to criticism, reform, new ideas and superior ability which is human as well as academic nature&#8221;","<span class=""postdate"">31 January 2012, 9:53 am</span>",Andrew,['Political Science'],-1,1
32,Statistical Murder,"<span class=""postdate"">30 January 2012, 5:32 pm</span>",Aleks Jakulin,"['Economics', 'Public Health']",-1,1
33,"A tax on inequality, or a tax to keep inequality at the current level?","<span class=""postdate"">30 January 2012, 10:39 am</span>",Andrew,['Economics'],-1,1
34,Convenient page of data sources from the Washington Post,"<span class=""postdate"">30 January 2012, 9:45 am</span>",Andrew,['Miscellaneous Statistics'],-1,1
35,G+ > Skype,"<span class=""postdate"">29 January 2012, 2:58 pm</span>",Andrew,['Teaching'],-1,1
36,How many parameters are in a multilevel model?,"<span class=""postdate"">29 January 2012, 9:54 am</span>",Andrew,"['Bayesian Statistics', 'Multilevel Modeling']",-1,1
37,Using predator-prey models on the Canadian lynx series,"<span class=""postdate"">28 January 2012, 9:58 am</span>",Andrew,['Bayesian Statistics'],-1,1
38,Educational monoculture,"<span class=""postdate"">27 January 2012, 9:29 am</span>",Andrew,['Teaching'],-1,1
39,Suggested resolution of the Bem paradox,"<span class=""postdate"">26 January 2012, 9:11 am</span>",Andrew,"['Sociology', 'Zombies']",-1,1
40,Chris Schmid on Evidence Based Medicine,"<span class=""postdate"">25 January 2012, 9:15 am</span>",Andrew,"['Decision Theory', 'Miscellaneous Statistics', 'Public Health']",-1,1
41,Difficulties in publishing non-replications of implausible findings,"<span class=""postdate"">24 January 2012, 9:57 am</span>",Andrew,"['Miscellaneous Science', 'Miscellaneous Statistics', 'Zombies']",-1,1
42,Fight! (also a bit of reminiscence at the end),"<span class=""postdate"">23 January 2012, 9:02 am</span>",Andrew,"['Causal Inference', 'Zombies']",-1,1
43,Advice on do-it-yourself stats education?,"<span class=""postdate"">22 January 2012, 10:19 am</span>",Andrew,"['Miscellaneous Statistics', 'Teaching']",-1,1
44,Lessons learned from a recent R package submission,"<span class=""postdate"">21 January 2012, 5:19 pm</span>",Andrew,"['Sociology', 'Statistical computing']",-1,1
45,A counterfeit data graphic,"<span class=""postdate"">21 January 2012, 3:18 pm</span>",Andrew,['Statistical graphics'],-1,1
46,Judea Pearl on why he is &#8220;only a half-Bayesian&#8221;,"<span class=""postdate"">21 January 2012, 12:32 pm</span>",Andrew,"['Bayesian Statistics', 'Causal Inference']",-1,1
47,Stan: A (Bayesian) Directed Graphical Model Compiler,"<span class=""postdate"">20 January 2012, 9:23 pm</span>",Andrew,"['Bayesian Statistics', 'Statistical computing']",-1,1
48,"Bugs Bunny, the governor of Massachusetts, the Dow 36,000 guy, presidential qualifications, and Peggy Noonan","<span class=""postdate"">20 January 2012, 10:23 am</span>",Andrew,['Political Science'],-1,1
49,Prior beliefs about locations of decision boundaries,"<span class=""postdate"">20 January 2012, 9:16 am</span>",Andrew,"['Bayesian Statistics', 'Political Science']",-1,1
50,Sharon Begley: Worse than Stephen Jay Gould?,"<span class=""postdate"">19 January 2012, 9:27 am</span>",Andrew,['Sociology'],-1,1
51,Beautiful Line Charts,"<span class=""postdate"">18 January 2012, 6:11 pm</span>",Aleks Jakulin,"['Economics', 'Statistical graphics']",-1,1
52,Bob on Stan,"<span class=""postdate"">18 January 2012, 3:21 pm</span>",Andrew,"['Bayesian Statistics', 'Statistical computing']",-1,1
53,The Fixie Bike Index,"<span class=""postdate"">18 January 2012, 9:03 am</span>",Andrew,"['Economics', 'Sports']",-1,1
54,Big corporations are more popular than you might realize,"<span class=""postdate"">17 January 2012, 4:02 pm</span>",Andrew,['Political Science'],-1,1
55,How to map geographically-detailed survey responses?,"<span class=""postdate"">17 January 2012, 9:33 am</span>",Andrew,"['Political Science', 'Statistical graphics']",-1,1
56,&#8220;Groundbreaking or Definitive? Journals Need to Pick One&#8221;,"<span class=""postdate"">16 January 2012, 9:03 am</span>",Andrew,"['Decision Theory', 'Miscellaneous Science']",-1,1
57,Excellence in Statistical Reporting Award,"<span class=""postdate"">15 January 2012, 7:39 pm</span>",Andrew,"['Miscellaneous Statistics', 'Teaching']",-1,1
58,Fun fight over the Grover search algorithm,"<span class=""postdate"">15 January 2012, 3:20 pm</span>",Andrew,['Sociology'],-1,1
59,R-squared for multilevel models,"<span class=""postdate"">15 January 2012, 9:40 am</span>",Andrew,['Multilevel Modeling'],-1,1
60,A model rejection letter,"<span class=""postdate"">14 January 2012, 9:44 am</span>",Andrew,"['Sociology', 'Zombies']",-1,1
61,Infographic on the economy,"<span class=""postdate"">13 January 2012, 7:40 pm</span>",Andrew,"['Economics', 'Statistical graphics']",-1,1
62,What are the important issues in ethics and statistics? I&#8217;m looking for your input!,"<span class=""postdate"">13 January 2012, 9:31 am</span>",Andrew,['Miscellaneous Statistics'],-1,1
63,Where are the larger-than-life athletes?,"<span class=""postdate"">12 January 2012, 3:03 pm</span>",Andrew,['Sports'],-1,1
64,Controversy about average personality differences between men and women,"<span class=""postdate"">12 January 2012, 9:02 am</span>",Andrew,"['Miscellaneous Science', 'Political Science']",-1,1
65,A blog full of examples for your statistics class,"<span class=""postdate"">11 January 2012, 7:31 pm</span>",Andrew,['Teaching'],-1,1
66,Toshiro Kageyama on professionalism,"<span class=""postdate"">11 January 2012, 9:47 am</span>",Andrew,['Sports'],-1,1
67,Jobs in statistics research! In New Jersey!,"<span class=""postdate"">10 January 2012, 1:48 pm</span>",Andrew,['Miscellaneous Statistics'],-1,1
68,The blog of the Cultural Cognition Project,"<span class=""postdate"">10 January 2012, 9:27 am</span>",Andrew,['Political Science'],-1,1
69,"Blogging, polemical and otherwise","<span class=""postdate"">9 January 2012, 12:58 pm</span>",Andrew,"['Economics', 'Sociology', 'Uncategorized']",-1,1
70,Google correlate links statistics with minorities,"<span class=""postdate"">9 January 2012, 9:57 am</span>",Andrew,"['Sociology', 'Statistical graphics']",-1,1
71,Econ debate about prices at a fancy restaurant,"<span class=""postdate"">8 January 2012, 1:19 pm</span>",Andrew,"['Economics', 'Sociology']",-1,1
72,Intro to splines&#8212;with cool graphs,"<span class=""postdate"">8 January 2012, 12:17 pm</span>",Andrew,['Miscellaneous Statistics'],-1,1
73,More on essentialism,"<span class=""postdate"">8 January 2012, 9:07 am</span>",Andrew,['Miscellaneous Science'],-1,1
74,"A compelling reason to go to London, Ontario??","<span class=""postdate"">7 January 2012, 9:21 am</span>",Andrew,['Statistical graphics'],-1,1
75,Bayesian Anova found useful in ecology,"<span class=""postdate"">6 January 2012, 3:10 pm</span>",Andrew,"['Bayesian Statistics', 'Miscellaneous Science', 'Multilevel Modeling']",-1,1
