postnum	tweets	likes	bin_tweet	bin_like	diff_tweets_likes	prop_tweet	prop_like	comments	title	date	graphics	length	videos	gradelevel	johnsides	henryfarrell	joshuatucker	larrybartels	andrewrudalevige	andrewgelman	jamesfearon	erikvoeten	sarahbinder	ericachenoweth	danhopkins	nolanmccarty	gregorykoger	jonathanrobinson	vanessawilliamson	jasonlyall	hansnoel	suzannemettler	paul	laynamosley	catiebailard	presidency	potpourri	environmentalpolitics	war	comparativepolitics	publicopinion	blogs	politicalscienceandjournalism	campaignsandelections	politicaleconomy	legislativepolitics	graphiti	politicalparties	law	experimentalanalysis	othersocialscience	policy	media	foreignpolicy	internationalrelations	internationalsecurity	methodology	electoralfraud	institutions	frivolity	tedmccaggcartoons	academia	electionreports	immigration	judicial	itandpolitics	data	violence	politicseverywhere	bureaucracy	obituary	sports	politicalscience	protest	housekeeping	senateprocedure	newsletters	healthcare	politicalsciencenews	education	science	musicandotherpopularculture	transitions	politicaltheory	thisweekinpoliticalscience	generalpolitics	interestgroups	methepeople	valid	tweetLike	logtweetlike	has_graphics	smoothtweet	smoothlike	smoothtweetlike	logsmoothtweetlike	loglength	tweetrating	tweetsandlikes	nographicslikes
783	31	29	1	0	2	.5166667	.4833333	4	"Similarities and Differences between Eastern Europe in 1989 and the Middle East in 2011"	"5/30/2011"	0	1323	0	12.77732	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.068966	.0289637	0	32	30	1.066667	.0280287	7.187657	.0280287	1	0
125	10	4	1	0	6	.7142857	.2857143	2	"Getting the Facts Straight: Payroll Tax Edition"	"12/22/2011"	0	631	0	10.38021	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.5	.39794	0	11	5	2.2	.3424227	6.447306	.3424227	1	0
106	12	0	1	0	12	1	0	0	"Is Putinism about Strength or Weakness?"	"1/3/2012"	0	913	0	13.28383	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	13	1	13	1.113943	6.816736	1.113943	0	0
846	0	0	0	1	0			0	"Syria and (the lack of) the Soviet Union"	"5/10/2011"	0	546	0	17.96442	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	1	1	1	0	6.302619	0	0	0
819	1	3	0	1	-2	.25	.75	2	"Should kids be able to bring their own lunches to school?"	"5/19/2011"	0	591	0	6.878159	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	.3333333	-.4771212	0	2	4	.5	-.30103	6.381816	-.30103	1	1
42	10	0	1	0	10	1	0	3	"Some Evidence on Local Citizen Immigration Boards"	"1/21/2012"	0	751	0	14.42094	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	11	1	11	1.041393	6.621406	1.041393	0	0
392	4	0	1	0	4	1	0	0	"Movie Reviews and Media Bias"	"9/28/2011"	0	449	0	12.21368	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	5	1	5	.69897	6.107023	.69897	0	0
72	10	0	1	0	10	1	0	0	"On Mean, Nasty South Carolina Politics"	"1/12/2012"	0	168	0	12.87784	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	11	1	11	1.041393	5.123964	1.041393	0	0
454	3	1	1	0	2	.75	.25	6	"Who gets credit for the recovery (when it happens)?"	"9/13/2011"	0	359	0	6.972111	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	.4771213	0	4	2	2	.30103	5.883322	.30103	1	0
57	13	2	1	0	11	.8666667	.1333333	2	"Winnowing the Field Would Help Romney, Not Hurt Him"	"1/17/2012"	0	89	0	6.210217	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6.5	.8129134	0	14	3	4.666667	.6690068	4.488636	.6690068	1	0
131	5	0	1	0	5	1	0	9	"This guy has a regular column at Reuters"	"12/21/2011"	0	597	0	8.809452	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	6	1	6	.7781513	6.391917	.7781513	0	0
429	12	6	1	0	6	.6666667	.3333333	0	"How Robert Putnam helped create the Tea Party"	"9/20/2011"	0	223	0	10.21838	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	.30103	0	13	7	1.857143	.2688453	5.407172	.2688453	1	0
121	4	0	1	0	4	1	0	2	"Maliki and coup-proofing"	"12/23/2011"	0	352	0	12.9869	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	5	1	5	.69897	5.863631	.69897	0	0
699	2	0	1	0	2	1	0	0	"Potpourri"	"6/28/2011"	0	60	0	9.075379	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	3	1	3	.4771213	4.094345	.4771213	0	0
343	4	0	1	0	4	1	0	1	"Politics and multiple intelligences"	"10/14/2011"	0	232	0	7.234708	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	5	1	5	.69897	5.446737	.69897	0	0
61	11	0	1	0	11	1	0	2	"≥ guy says Santorum's tax plan doesn't add up"	"1/15/2012"	0	269	0	10.13838	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	12	1	12	1.079181	5.594711	1.079181	0	0
599	2	0	1	0	2	1	0	2	"It's Probably Better If I Don't Title This Post"	"8/1/2011"	0	45	0	9.62913	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	3	1	3	.4771213	3.806663	.4771213	0	0
525	3	0	1	0	3	1	0	2	"Request for Guest Post from Libya Experts?"	"8/21/2011"	0	118	0	9.955173	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	4	1	4	.60206	4.770685	.60206	0	0
170	6	0	1	0	6	1	0	0	"Voter decision making with third party candidates"	"12/9/2011"	0	268	0	8.56647	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	7	1	7	.845098	5.590987	.845098	0	0
426	7	6	1	0	1	.5384616	.4615385	4	"Election Report: United Arab Emirates"	"9/21/2011"	0	570	0	12.72895	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.166667	.0669468	0	8	7	1.142857	.057992	6.345636	.057992	1	0
627	12	4	1	0	8	.75	.25	4	"Would Women Have Solved the Debt Crisis?"	"7/24/2011"	0	350	0	13.47455	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	.4771213	0	13	5	2.6	.4149733	5.857933	.4149733	1	0
763	7	15	0	1	-8	.3181818	.6818182	3	"How Majority Parties Maintain Their Cartel: Buying Off Centrists"	"6/7/2011"	0	549	0	12.36838	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.4666667	-.3309932	0	8	16	.5	-.30103	6.308098	-.30103	1	1
605	3	0	1	0	3	1	0	0	"Plus √ßa change"	"7/29/2011"	0	46	0	7.822287	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	4	1	4	.60206	3.828641	.60206	0	0
203	28	9	1	0	19	.7567568	.2432432	5	"Can Google Search Behavior Predict Political Behavior?"	"12/1/2011"	0	212	0	10.90655	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3.111111	.4929155	0	29	10	2.9	.462398	5.356586	.462398	1	0
770	2	0	1	0	2	1	0	0	"Correlation is (newsworthy, so why) not causation?"	"6/4/2011"	0	30	0	2.47	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0				0	3	1	3	.4771213	3.401197	.4771213	0	0
725	7	0	1	0	7	1	0	2	"Money Blurts"	"6/20/2011"	0	248	0	9.172642	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	8	1	8	.90309	5.513429	.90309	0	0
538	7	1	1	0	6	.875	.125	8	"Election Report: 2011 Argentinian Presidential Primary"	"8/17/2011"	0	1002	0	13.09356	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7	.845098	0	8	2	4	.60206	6.909753	.60206	1	0
428	2	0	1	0	2	1	0	0	"Will the Defense Budget Get Cut?"	"9/21/2011"	0	43	0	7.811802	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	3	1	3	.4771213	3.7612	.4771213	0	0
75	5	2	1	0	3	.7142857	.2857143	3	"More on Innumeracy"	"1/11/2012"	0	377	0	9.632825	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2.5	.39794	0	6	3	2	.30103	5.932245	.30103	1	0
63	4	0	1	0	4	1	0	2	"Potpourri"	"1/14/2012"	0	50	0	7.284965	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	5	1	5	.69897	3.912023	.69897	0	0
734	9	2	1	0	7	.8181818	.1818182	4	"One in a quadrillion"	"6/15/2011"	0	316	0	13.8829	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4.5	.6532125	0	10	3	3.333333	.5228787	5.755742	.5228787	1	0
23	4	0	1	0	4	1	0	2	"The Defense Lobby and Aid to Egypt"	"1/27/2012"	0	227	0	18.57785	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	5	1	5	.69897	5.42495	.69897	0	0
268	6	2	1	0	4	.75	.25	1	"White Knights"	"11/5/2011"	0	122	0	9.10055	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	.4771213	0	7	3	2.333333	.3679768	4.804021	.3679768	1	0
475	4	3	1	0	1	.5714286	.4285714	9	"What John Galliano Can Teach Americans about Free Speech"	"9/8/2011"	0	650	0	12.68809	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1.333333	.1249387	0	5	4	1.25	.09691	6.476973	.09691	1	0
394	1	0	1	0	1	1	0	0	"Peter Orszag's Stealth Democracy"	"9/28/2011"	0	69	0	7.281667	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	2	1	2	.30103	4.234107	.30103	0	0
700	3	0	1	0	3	1	0	2	"Legislative Theories and the NY Gay Marriage Vote"	"6/28/2011"	0	395	0	11.10317	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	4	1	4	.60206	5.978886	.60206	0	0
743	6	6	0	1	0	.5	.5	3	"Everything is Obvious (once you know the answer)"	"6/13/2011"	0	3949	0	9.856285	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	7	7	1	0	8.281218	0	1	0
443	3	0	1	0	3	1	0	3	"The Jewish vote"	"9/16/2011"	0	227	0	9.70038	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	4	1	4	.60206	5.42495	.60206	0	0
444	7	9	0	1	-2	.4375	.5625	3	"ù"	"9/15/2011"	0	395	0	8.710312	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	.7777778	-.1091445	0	8	10	.8	-.09691	5.978886	-.09691	1	1
445	5	0	1	0	5	1	0	0	"The Role of Social Media in Conflict"	"9/15/2011"	0	84	0	7.642585	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	6	1	6	.7781513	4.430817	.7781513	0	0
120	5	0	1	0	5	1	0	0	"Jacobs and Shapiro on how politicians try to mold public opinion"	"12/23/2011"	0	547	0	13.87407	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	6	1	6	.7781513	6.304449	.7781513	0	0
710	8	0	1	0	8	1	0	1	"Israeli perspective on foreign aid"	"6/23/2011"	0	243	0	6.13952	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	9	1	9	.9542425	5.493062	.9542425	0	0
862	0	0	0	1	0			5	"The Alternative Vote in the UK"	"5/5/2011"	0	132	0	12.83455	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0				0	1	1	1	0	4.882802	0	0	0
