"","postnum","tweets","likes","bin_tweet","bin_like","diff_tweets_likes","prop_tweet","prop_like","Comments","title","date","Graphics","Length","videos","gradelevel","johnsides","henryfarrell","joshuatucker","larrybartels","andrewrudalevige","andrewgelman","jamesfearon","erikvoeten","sarahbinder","ericachenoweth","danhopkins","nolanmccarty","gregorykoger","jonathanrobinson","vanessawilliamson","jasonlyall","hansnoel","suzannemettler","paul","laynamosley","catiebailard","presidency","potpourri","environmentalpolitics","war","comparativepolitics","publicopinion","blogs","politicalscienceandjournalism","campaignsandelections","politicaleconomy","legislativepolitics","graphiti","politicalparties","law","experimentalanalysis","othersocialscience","policy","media","foreignpolicy","internationalrelations","internationalsecurity","methodology","electoralfraud","institutions","frivolity","tedmccaggcartoons","academia","electionreports","immigration","judicial","itandpolitics","data","violence","politicseverywhere","bureaucracy","obituary","sports","politicalscience","protest","housekeeping","senateprocedure","newsletters","healthcare","politicalsciencenews","education","science","musicandotherpopularculture","transitions","politicaltheory","thisweekinpoliticalscience","generalpolitics","interestgroups","methepeople","valid","tweetLike","logtweetlike","has_graphics","smoothtweet","smoothlike","smoothtweetlike","logsmoothtweetlike","loglength","tweetrating","tweetsandlikes","year","day","month","newdate","weekday","weekdaynum","weekday01","sincelast"
"11",11,11,0,1,0,11,1,0,4,"Will a Losing GOP Shift Rightward?","2/1/2012",2,378,0,12.2885713577271,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,12,1,12,1.07918119430542,5.93489408493042,1.07918119430542,0,"2012","1","2",2012-02-01,"Wednesday","3",1,1
"12",12,4,1,1,0,3,0.800000011920929,0.200000002980232,5,"A tax on inequality, or a tax to keep inequality at the current level?","1/31/2012",0,382,0,7.40673828125,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0.60206001996994,0,5,2,2.5,0.397940009832382,5.94542074203491,0.397940009832382,1,"2012","31","1",2012-01-31,"Tuesday","2",1,0
"13",13,1,0,1,0,1,1,0,1,"Potpourri","1/31/2012",0,132,0,4.47499990463257,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,1,2,0.30103000998497,4.88280200958252,0.30103000998497,0,"2012","31","1",2012-01-31,"Tuesday","2",1,0
"14",14,6,0,1,0,6,1,0,8,"California's Redistricting Experiment","1/31/2012",0,641,0,13.1813640594482,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,7,1,7,0.84509801864624,6.46302938461304,0.84509801864624,0,"2012","31","1",2012-01-31,"Tuesday","2",1,1
"15",15,7,4,1,0,3,0.636363625526428,0.363636374473572,1,"Tweets and Likes","1/30/2012",0,226,0,6.42133331298828,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,0.243038043379784,0,8,5,1.60000002384186,0.204119995236397,5.42053508758545,0.204119995236397,1,"2012","30","1",2012-01-30,"Monday","1",1,0
"16",16,9,5,1,0,4,0.642857134342194,0.357142865657806,7,"Sex Scandals and Race","1/30/2012",1,306,0,14.9125814437866,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.79999995231628,0.255272507667542,1,10,6,1.66666662693024,0.221848741173744,5.72358512878418,0.221848741173744,1,"2012","30","1",2012-01-30,"Monday","1",1,0
"17",17,76,118,0,1,-42,0.391752570867538,0.608247399330139,2,"Politics is a Matter of Life and Death (Times 23,000)","1/30/2012",1,553,0,18.5713634490967,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.644067823886871,-0.191068395972252,1,77,119,0.647058844566345,-0.189056217670441,6.31535816192627,-0.189056217670441,1,"2012","30","1",2012-01-30,"Monday","1",1,1
"18",18,1,0,1,0,1,1,0,1,"Reporting of the economy","1/29/2012",0,178,0,8.29909610748291,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,1,2,0.30103000998497,5.18178367614746,0.30103000998497,0,"2012","29","1",2012-01-29,"Sunday","0",0,0
"19",19,129,68,1,0,61,0.65482234954834,0.34517765045166,4,"How do states act after they get nuclear weapons?","1/29/2012",2,1087,0,13.0031299591064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.89705884456635,0.27808079123497,1,130,69,1.88405799865723,0.275094270706177,6.99117708206177,0.275094270706177,1,"2012","29","1",2012-01-29,"Sunday","0",0,1
"20",20,11,4,1,0,7,0.733333349227905,0.266666680574417,1,"Meta-analysis, game theory, and incentives to do replicable research","1/28/2012",0,513,0,10.3241596221924,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.75,0.439332693815231,0,12,5,2.40000009536743,0.380211263895035,6.24027585983276,0.380211263895035,1,"2012","28","1",2012-01-28,"Saturday","6",0,1
"21",21,4,0,1,0,4,1,0,0,"Potpourri","1/27/2012",0,89,0,6.14413785934448,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,5,1,5,0.698970019817352,4.48863649368286,0.698970019817352,0,"2012","27","1",2012-01-27,"Friday","5",1,0
"22",22,6,1,1,0,5,0.857142865657806,0.142857149243355,4,"Does the Length of the Campaign Help or Hurt Incumbents?","1/27/2012",0,211,0,11.6139440536499,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0.778151273727417,0,7,2,3.5,0.544068038463593,5.35185813903809,0.544068038463593,1,"2012","27","1",2012-01-27,"Friday","5",1,0
"23",23,4,0,1,0,4,1,0,2,"The Defense Lobby and Aid to Egypt","1/27/2012",0,227,0,18.5778484344482,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,5,1,5,0.698970019817352,5.42495012283325,0.698970019817352,0,"2012","27","1",2012-01-27,"Friday","5",1,0
"24",24,6,2,1,0,4,0.75,0.25,1,"Mitt Romney's Tax Problem","1/27/2012",1,78,0,7.85671663284302,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.477121263742447,1,7,3,2.33333325386047,0.367976784706116,4.35670900344849,0.367976784706116,1,"2012","27","1",2012-01-27,"Friday","5",1,0
"25",25,10,12,0,1,-2,0.454545468091965,0.545454561710358,6,"Electoral Fraud in Russia: Report from the Russian Blogosphere","1/27/2012",4,781,0,13.0267972946167,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.833333313465118,-0.0791812539100647,1,11,13,0.846153855323792,-0.0725506618618965,6.6605749130249,-0.0725506618618965,1,"2012","27","1",2012-01-27,"Friday","5",1,1
"26",26,5,1,1,0,4,0.833333313465118,0.16666667163372,2,"Congress, the Fed, and the FOMC","1/26/2012",1,822,0,12.858208656311,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0.698970019817352,1,6,2,3,0.477121263742447,6.71174049377441,0.477121263742447,1,"2012","26","1",2012-01-26,"Thursday","4",1,0
"27",27,21,5,1,0,16,0.807692289352417,0.192307695746422,0,"Fred Bergsten and Jacob Kirkegaard Need to Read Thomas Schelling","1/26/2012",0,903,0,13.9564571380615,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.19999980926514,0.623249292373657,0,22,6,3.66666674613953,0.564271450042725,6.80572271347046,0.564271450042725,1,"2012","26","1",2012-01-26,"Thursday","4",1,1
"28",28,26,111,0,1,-85,0.189781025052071,0.810218989849091,4,"If the Republican Candidates Were John Hughes Characters","1/25/2012",2,10,0,4.96444463729858,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.234234228730202,-0.630349636077881,1,27,112,0.241071432828903,-0.617854237556458,2.30258512496948,-0.617854237556458,1,"2012","25","1",2012-01-25,"Wednesday","3",1,0
"29",29,0,2,0,1,-2,0,1,5,"Journal Authors, Not Journal Articles","1/25/2012",0,245,0,7.46584367752075,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,1,3,0.333333343267441,-0.477121233940125,5.5012583732605,-0.477121233940125,0,"2012","25","1",2012-01-25,"Wednesday","3",1,1
"30",30,11,0,1,0,11,1,0,2,"Election Report: Egyptian Parliamentary Elections","1/24/2012",1,614,0,11.7529144287109,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,12,1,12,1.07918119430542,6.41999483108521,1.07918119430542,0,"2012","24","1",2012-01-24,"Tuesday","2",1,0
"31",31,1,0,1,0,1,1,0,7,"Winner take all?","1/24/2012",0,387,0,13.0191335678101,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,1,2,0.30103000998497,5.95842456817627,0.30103000998497,0,"2012","24","1",2012-01-24,"Tuesday","2",1,0
"32",32,14,8,1,0,6,0.636363625526428,0.363636374473572,1,"Is China Really Not Catching Up?","1/24/2012",1,955,0,14.5646657943726,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,0.243038043379784,1,15,9,1.66666662693024,0.221848741173744,6.8617115020752,0.221848741173744,1,"2012","24","1",2012-01-24,"Tuesday","2",1,0
"33",33,4,0,1,0,4,1,0,0,"SOTU Preview","1/24/2012",0,36,0,2.7928204536438,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,5,1,5,0.698970019817352,3.58351898193359,0.698970019817352,0,"2012","24","1",2012-01-24,"Tuesday","2",1,1
"34",34,11,0,1,0,11,1,0,1,"Perhaps Party Elites Were Influential in South Carolina","1/23/2012",0,346,0,14.6189756393433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,12,1,12,1.07918119430542,5.84643888473511,1.07918119430542,0,"2012","23","1",2012-01-23,"Monday","1",1,0
"35",35,7,6,1,0,1,0.538461565971375,0.461538463830948,0,"Military Strikes against Iran's Nuclear Facilities: Are They Likely and Will They Work?","1/23/2012",0,1158,0,12.9008617401123,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.16666662693024,0.0669467747211456,0,8,7,1.14285719394684,0.0579919666051865,7.05444955825806,0.0579919666051865,1,"2012","23","1",2012-01-23,"Monday","1",1,0
"36",36,2,0,1,0,2,1,0,1,"Newt's Looks and Obama's Race","1/23/2012",0,192,0,6.55086898803711,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,1,3,0.477121263742447,5.25749540328979,0.477121263742447,0,"2012","23","1",2012-01-23,"Monday","1",1,0
"37",37,2,0,1,0,2,1,0,3,"Moderation and Radicalization in Conservative Parties","1/23/2012",0,284,0,15.4712114334106,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,1,3,0.477121263742447,5.64897441864014,0.477121263742447,0,"2012","23","1",2012-01-23,"Monday","1",1,0
"38",38,2,0,1,0,2,1,0,0,"Registration Open for 5th Annual NYU-CESS Conference on Experimental Political Science","1/23/2012",1,765,0,27.7493534088135,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,1,3,1,3,0.477121263742447,6.63987588882446,0.477121263742447,0,"2012","23","1",2012-01-23,"Monday","1",1,0
"39",39,14,8,1,0,6,0.636363625526428,0.363636374473572,1,"A Cranky Reader and I Discuss the 2012 GOP Primary","1/23/2012",0,1184,0,6.80578470230103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.75,0.243038043379784,0,15,9,1.66666662693024,0.221848741173744,7.07665395736694,0.221848741173744,1,"2012","23","1",2012-01-23,"Monday","1",1,1
"40",40,2,0,1,0,2,1,0,0,"Convenient page of data sources from the Washington Post","1/22/2012",0,10,0,0.587222218513489,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,1,3,0.477121263742447,2.30258512496948,0.477121263742447,0,"2012","22","1",2012-01-22,"Sunday","0",0,1
"41",41,2,0,1,0,2,1,0,2,"Are the Attacks on Romney's Time at Bain Capital Working?","1/21/2012",0,381,0,10.4239625930786,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,3,1,3,0.477121263742447,5.94279956817627,0.477121263742447,0,"2012","21","1",2012-01-21,"Saturday","6",0,0
"42",42,10,0,1,0,10,1,0,3,"Some Evidence on Local Citizen Immigration Boards","1/21/2012",0,751,0,14.4209432601929,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,11,1,11,1.04139268398285,6.62140560150146,1.04139268398285,0,"2012","21","1",2012-01-21,"Saturday","6",0,1
"43",43,1,0,1,0,1,1,0,0,"Potpourri","1/20/2012",0,42,0,5.64439582824707,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,2,1,2,0.30103000998497,3.7376697063446,0.30103000998497,0,"2012","20","1",2012-01-20,"Friday","5",1,0
"44",44,1,2,0,1,-1,0.333333343267441,0.666666686534882,1,"ù Justice Stevens","1/20/2012",0,35,0,11.5164709091187,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,-0.30103000998497,0,2,3,0.666666686534882,-0.176091238856316,3.55534815788269,-0.176091238856316,1,"2012","20","1",2012-01-20,"Friday","5",1,0
