Landing Page,Visits,Pages/Visit,Avg Time On,% New Visits,Bounce Rate,Year,Month,Day,Title
/blog/2011/07/21/how-the-killing-of-bin-laden-affected-american-attitudes-toward-muslims/,341,1.04,0:00:13,95.52%,95.52%,2011,07,21,How The Killing Of Bin Laden Affected American Attitudes Toward Muslims
/2008/07/post_99.html,336,1.09,0:00:11,80.30%,90.91%,2008,07,NA,Post 99
/2010/12/state_power_and_the_response_t.html,330,1.17,0:00:10,86.15%,89.23%,2010,12,NA,State Power And The Response
/blog/2011/05/30/similarities-and-differences-between-eastern-europe-in-1989-and-the-middle-east-in-2011/,330,1.23,0:01:16,87.69%,84.62%,2011,05,30,Similarities And Differences Between Eastern Europe In 1989 And The Middle East In 2011
/2010/06/explaining_the_origins_of_the.html,325,1.06,0:00:09,65.62%,95.31%,2010,06,NA,Explaining The Origins Of The
/2010/06/will_the_oil_spill_kick_obamas.html,325,1.03,0:00:14,76.56%,96.87%,2010,06,NA,Will The Oil Spill Kick Obamas
/2011/04/polarization_and_raising_the_d.html,325,1.22,0:00:33,85.94%,87.50%,2011,04,NA,Polarization And Raising The D
/blog/2011/07/27/americans-have-become-more-opposed-to-adultery-why/,325,1.2,0:00:37,95.31%,82.81%,2011,07,27,Americans Have Become More Opposed To Adultery Why
/blog/2011/07/27/is-twitter-politically-polarized/,325,1.25,0:00:32,87.50%,84.38%,2011,07,27,Is Twitter Politically Polarized
/2009/05/social_science_torture_and_eth.html,320,1.24,0:01:35,74.60%,87.30%,2009,05,NA,Social Science Torture And E
/2010/05/what_do_we_know_about_minority.html,320,1.25,0:00:36,46.03%,93.65%,2010,05,NA,What Do We Know About Minority
/2011/02/more_on_unions_and_state_budge.html,320,1.33,0:01:16,80.95%,82.54%,2011,02,NA,More On Unions And State Budge
/blog/2011/08/12/aaa-ratings-and-regime-types/,320,1.27,0:01:37,66.67%,85.71%,2011,08,12,Aaa Ratings And Regime Types
/2008/03/the_imagined_community_in_euro.html,315,1.1,0:00:12,88.71%,90.32%,2008,03,NA,The Imagined Community In Euro
/2010/10/how_the_ballot_may_save_the_de.html,315,1.26,0:01:21,62.90%,93.55%,2010,10,NA,How The Ballot May Save The De
/2010/12/press_freedom_and_not_attendin.html,315,1.5,0:01:01,77.42%,64.52%,2010,12,NA,Press Freedom And Not Attendin
/2010/12/richard_nixons_anti-semitism_a.html,315,1.23,0:00:54,53.23%,87.10%,2010,12,NA,Richard_nixons_anti Semitism_a
/blog/2010/02/16/good_writing_in_political_scie/,315,1.35,0:00:51,80.65%,79.03%,2010,02,16,Good Writing In Political Scie
/2010/06/is_538com_good_for_political_s.html,310,1.18,0:00:33,52.46%,86.89%,2010,06,NA,Is 538com Good For Political S
/2008/05/on_the_relationship_between_jo_1.html,305,1.33,0:01:26,63.33%,81.67%,2008,05,NA,On The Relationship Between Jo 1
/2010/03/new_public_opinion_numbers_on.html,305,1.12,0:00:51,66.67%,90.00%,2010,03,NA,New Public Opinion Numbers On
/2011/01/the_voters_hate_everyone.html,305,1.18,0:01:08,71.67%,88.33%,2011,01,NA,The Voters Hate Everyone
/2011/03/suzanne_mettler_in_the_media.html,305,1.38,0:00:35,65.00%,78.33%,2011,03,NA,Suzanne Mettler In The Media
/2009/07/why_should_we_have_polls.html,295,1.07,0:00:25,74.14%,94.83%,2009,07,NA,Why Should We Have Polls
/2010/05/why_dont_they_just_let_the_gre.html,295,1.21,0:00:51,77.59%,84.48%,2010,05,NA,Why Dont They Just Let The Gre
/2010/08/the_shrinking_political_scienc.html,295,1.09,0:00:15,72.41%,91.38%,2010,08,NA,The Shrinking Political Scienc
/blog/2012/01/04/is-the-president-playing-fair-during-recess-the-cordray-appointment/?wpisrc=nl_wonk,295,1.07,0:00:29,87.93%,96.55%,2012,01,04,Is The President Playing Fair During Recess The Cordray Appointment
/2011/03/clean_elections_vs_political_s.html,290,1.21,0:00:30,78.95%,87.72%,2011,03,NA,Clean Elections Vs Political S
/blog/2011/08/29/the-origins-of-conspiracy-theories/,290,1.23,0:00:31,77.19%,89.47%,2011,08,29,The Origins Of Conspiracy Theories
/2008/06/the_nixon_we_never_knew.html,285,1.12,0:00:07,98.21%,92.86%,2008,06,NA,The Nixon We Never Knew
/2008/07/the_truth_is_out_there.html,285,1.39,0:01:39,78.57%,75.00%,2008,07,NA,The Truth Is Out There
/2010/02/which_party_uses_reconciliatio.html,285,1.09,0:00:25,85.71%,92.86%,2010,02,NA,Which Party Uses Reconciliatio
/2010/04/princeton_readings_in_american.html,285,1.12,0:00:16,76.79%,87.50%,2010,04,NA,Princeton Readings In American
/2010/12/the_truth_wears_off_is_there_s.html,285,1.05,0:00:02,83.93%,96.43%,2010,12,NA,The Truth Wears Off Is There S
/blog/2012/01/29/how-do-states-act-after-they-get-nuclear-weapons,285,1.21,0:00:56,92.86%,85.71%,2012,01,29,How Do States Act After They Get Nuclear Weapons
/2010/08/david_broder_and_the_mystical.html,280,1.16,0:00:21,85.45%,94.55%,2010,08,NA,David Broder And The Mystica
/2010/03/did_gays_in_the_dutch_military.html,274,1.06,0:00:35,79.63%,94.44%,2010,03,NA,Did Gays In The Dutch Military
/2010/04/fixin_the_heritage_foundations.html,274,1.06,0:00:03,74.07%,94.44%,2010,04,NA,Fixin The Heritage Foundations
/2010/12/is_political_science_too_hard_.html,274,1.33,0:00:31,33.33%,74.07%,2010,12,NA,Is Political Science Too Hard
/blog/2010/10/29/why_divided_government_is_bad_/,274,1.11,0:00:23,83.33%,90.74%,2010,10,29,Why Divided Government Is Bad
/2010/01/the_effect_of_the_ma_special_e_1.html,269,1.28,0:00:39,81.13%,79.25%,2010,01,NA,The Effect Of The Ma Special E 1
/blog/2009/12/17/three_myths_about_political_in/,269,1.21,0:00:36,92.45%,88.68%,2009,12,17,Three Myths About Political In
/blog/2011/08/29/should-we-be-disturbed-that-a-leading-presidential-candidate-endorses-a-pro-slavery-position/,269,1.96,0:01:33,79.25%,58.49%,2011,08,29,Should We Be Disturbed That A Leading Presidential Candidate Endorses A Pro Slavery Position
/2008/02/drezner_on_political_science_m.html,264,1.19,0:00:59,92.31%,84.62%,2008,02,NA,Drezner On Political Science
/2010/01/the_ma_special_election_cartoo.html,264,1.17,0:00:54,92.31%,84.62%,2010,01,NA,The Ma Special Election Cartoo
/2010/08/how_conservative_is_corporate.html,264,1.15,0:00:59,48.08%,90.38%,2010,08,NA,How Conservative Is Corporate
/2010/11/seat_losses_everywhere.html,264,1.15,0:00:16,80.77%,86.54%,2010,11,NA,Seat Losses Everywhere
/2011/03/why_security_studies_should_ta.html,264,1.44,0:01:26,75.00%,76.92%,2011,03,NA,Why Security Studies Should Ta
/blog/2012/01/23/a-cranky-reader-and-i-discuss-the-2012-gop-primary/,264,1.4,0:00:49,84.62%,88.46%,2012,01,23,A Cranky Reader And I Discuss The 2012 Gop Primary
/2008/12/tips_for_the_pub.html,259,1.1,0:00:24,96.08%,90.20%,2008,12,NA,Tips For The Pub
/2010/01/perry_v_schwarzenegger_guest_b_1.html,259,1.04,0:00:03,78.43%,96.08%,2010,01,NA,Perry V Schwarzenegger Guest B 1
/2011/02/obama_naively_supporting_islam.html,259,1.25,0:00:02,56.86%,82.35%,2011,02,NA,Obama Naively Supporting Isla
/blog/2011/11/02/the-presidents-fate-may-hinge-on-2009-2/,259,1.2,0:00:32,82.35%,94.12%,2011,11,02,The Presidents Fate May Hinge On 2009 2
/blog/2011/11/17/partisanship-in-everything-views-of-godfathers-pizza/,259,1.12,0:00:15,90.20%,90.20%,2011,11,17,Partisanship In Everything Views Of Godfathers Pizza
/2009/10/civil_wars_and_violence_in_soc.html,254,1.18,0:00:45,88.00%,88.00%,2009,10,NA,Civil Wars And Violence In Soc
/2010/02/the_order_of_things.html,254,1.02,0:00:00,74.00%,98.00%,2010,02,NA,The Order Of Things
/2010/03/to_selfexecute_or_not_to_selfe_1.html,254,1.14,0:01:58,76.00%,90.00%,2010,03,NA,To Selfexecute Or Not To Selfe 1
/2010/10/does_inequality_make_people_mo_1.html,254,1.08,0:00:33,76.00%,92.00%,2010,10,NA,Does Inequality Make People Mo 1
/blog/2012/02/17/understanding-the-zombie-confusion-about-class-and-voting/,254,1.32,0:00:49,78.00%,86.00%,2012,02,17,Understanding The Zombie Confusion About Class And Voting
/blog/2011/09/11/too-much-education/,249,1.37,0:01:20,63.27%,83.67%,2011,09,11,Too Much Education
/2009/07/how_iran_works.html,244,1.46,0:00:56,77.08%,66.67%,2009,07,NA,How Iran Works
/2009/09/2009_norwegian_parliamentary_e.html,244,1.04,0:00:58,6.25%,97.92%,2009,09,NA,2009 Norwegian Parliamentary E
/2010/08/a_colorful_race.html,244,1.23,0:00:48,91.67%,87.50%,2010,08,NA,A Colorful Race
/2011/04/how_wasteful_is_spending_on_ho.html,244,1.12,0:00:37,93.75%,89.58%,2011,04,NA,How Wasteful Is Spending On Ho
/blog/2012/01/04/is-the-president-playing-fair-during-recess-the-cordray-appointment/,244,1.38,0:01:01,72.92%,77.08%,2012,01,04,Is The President Playing Fair During Recess The Cordray Appointment
/2008/10/post_135.html,239,1.49,0:00:33,70.21%,80.85%,2008,10,NA,Post 135
/2010/05/the_perils_of_guessing_the_ide.html,239,1.23,0:00:39,85.11%,82.98%,2010,05,NA,The Perils Of Guessing The Ide
/2010/07/collaborating_and_defecting.html,239,1.02,0:00:15,68.09%,97.87%,2010,07,NA,Collaborating And Defecting
/2011/03/war_powers_irresolution.html,239,1.26,0:00:44,68.09%,87.23%,2011,03,NA,War Powers Irresolution
/blog/2011/09/22/speaker-boehners-legislative-dilemma/,239,1.11,0:00:12,85.11%,91.49%,2011,09,22,Speaker Boehners Legislative Dilemma
/2008/09/post_122.html,234,1.28,0:00:23,82.61%,86.96%,2008,09,NA,Post 122
/2010/09/voters_hate_republicans_but_ar.html,234,1.17,0:00:06,76.09%,93.48%,2010,09,NA,Voters Hate Republicans But Ar
/2011/03/epistemic_closure_-_climate_ch.html,234,1.43,0:00:54,84.78%,80.43%,2011,03,NA,Epistemic_closure_ _climate_c
/2008/03/the_joy_of_bike_racing_a_photo.html,229,1.27,0:00:11,93.33%,77.78%,2008,03,NA,The Joy Of Bike Racing A Photo
/2008/05/humor_for_graduate_students.html,229,1.38,0:00:44,80.00%,86.67%,2008,05,NA,Humor For Graduate Students
/2009/03/a_bleg_what_are_the_political.html,229,1.4,0:01:10,64.44%,84.44%,2009,03,NA,A Bleg What Are The Politica
/2009/07/post_220.html,229,1.07,0:00:23,88.89%,93.33%,2009,07,NA,Post 220
/2010/02/the_democrats_are_gonna_get_ha.html,229,1.13,0:00:32,75.56%,93.33%,2010,02,NA,The Democrats Are Gonna Get Ha
/2010/11/new_evidence_for_gender_bias_i.html,229,1.31,0:00:47,88.89%,88.89%,2010,11,NA,New Evidence For Gender Bias I
/blog/2011/07/26/congressional-supercommittees-how-super-are-they/,229,1.07,0:00:16,84.44%,95.56%,2011,07,26,Congressional Supercommittees How Super Are They
/2010/06/the_public_is_a_thermostat.html,224,1.14,0:01:03,34.09%,90.91%,2010,06,NA,The Public Is A Thermosta
/2010/08/political_scientists_on_youtub.html,224,1.2,0:01:22,68.18%,90.91%,2010,08,NA,Political Scientists On Youtub
/2011/01/so_the_greatest_political_chan.html,224,1.07,0:00:08,79.55%,93.18%,2011,01,NA,So The Greatest Political Chan
/2011/02/when_scatterplots_invade_cable.html,224,1.55,0:02:25,72.73%,65.91%,2011,02,NA,When Scatterplots Invade Cable
/blog/2011/10/18/polarization-and-inequality/,224,1.27,0:00:38,34.09%,86.36%,2011,10,18,Polarization And Inequality
/2011/02/forecasting_revolutions_to_sta.html,218,2.05,0:01:58,67.44%,39.53%,2011,02,NA,Forecasting Revolutions To Sta
/blog/2011/08/09/do-austerity-measures-increase-the-risk-of-social-chaos/,218,1.14,0:00:36,88.37%,88.37%,2011,08,09,Do Austerity Measures Increase The Risk Of Social Chaos
/2009/04/the_tripling_of_the_money_supp.html,213,1.17,0:00:32,88.10%,88.10%,2009,04,NA,The Tripling Of The Money Supp
/2009/07/politics_everywhere_tdf_editio.html,213,1.02,0:00:02,78.57%,97.62%,2009,07,NA,Politics Everywhere Tdf Editio
/2009/09/are_republicans_now_officially.html,213,1.14,0:00:48,90.48%,85.71%,2009,09,NA,Are Republicans Now Officially
/blog/2011/05/25/do-early-polls-predict-anything/,213,1.26,0:00:53,83.33%,88.10%,2011,05,25,Do Early Polls Predict Anything
/blog/2011/08/25/crowd-sourcing-a-bibliography-social-media-and-protest/,213,1.19,0:00:22,23.81%,85.71%,2011,08,25,Crowd Sourcing A Bibliography Social Media And Protest
/blog/2012/01/25/if-the-republican-candidates-were-john-hughes-characters/,213,1.24,0:01:26,92.86%,80.95%,2012,01,25,If The Republican Candidates Were John Hughes Characters
/2009/08/greg_mankiw_hearts_genetic_det.html,208,1.17,0:00:21,80.49%,85.37%,2009,08,NA,Greg Mankiw Hearts Genetic De
/2010/12/political_implications_of_the_.html,208,1.12,0:01:16,85.37%,90.24%,2010,12,NA,Political Implications Of The
/2010/12/the_shifting_meaning_of_millio.html,208,1.12,0:00:18,78.05%,90.24%,2010,12,NA,The Shifting Meaning Of Millio
/blog/2011/05/26/how-political-science-can-help-journalists-and-still-let-them-be-journalists/,208,2.22,0:01:19,46.34%,87.80%,2011,05,26,How Political Science Can Help Journalists And Still Let Them Be Journalists
/2008/02/conservative_and_liberal_blogg.html,203,1.22,0:00:54,80.00%,87.50%,2008,02,NA,Conservative And Liberal Blogg
/2008/04/a_monkey_cage_exclusive_mri_of.html,203,1.18,0:00:14,90.00%,90.00%,2008,04,NA,A Monkey Cage Exclusive Mri Of
/2008/06/ranking_states_by_the_liberali.html,203,1.22,0:01:07,60.00%,82.50%,2008,06,NA,Ranking States By The Liberali
/2009/10/scozzafava_is_a_conservative_r.html,203,1.12,0:00:22,87.50%,90.00%,2009,10,NA,Scozzafava Is A Conservative R
/2010/05/the_best_three_years_of_my_lif.html,203,1.05,0:00:23,25.00%,95.00%,2010,05,NA,The Best Three Years Of My Lif
/2010/10/why_divided_government_is_bad_.html,203,1.08,0:00:17,97.50%,92.50%,2010,10,NA,Why Divided Government Is Bad
/2010/11/2010_was_a_pretty_good_year_fo.html,203,1.08,0:00:06,80.00%,92.50%,2010,11,NA,2010 Was A Pretty Good Year Fo
/blog/2011/06/27/political-science-and-gay-marriage-in-new-york/,203,1.08,0:00:20,87.50%,92.50%,2011,06,27,Political Science And Gay Marriage In New York
/blog/2011/08/07/script-doctor/,203,1.53,0:00:37,72.50%,55.00%,2011,08,07,Script Doctor
/blog/2012/02/16/the-case-for-using-project-level-data-to-study-aid-distribution-and-impact/,203,1.55,0:01:00,92.50%,67.50%,2012,02,16,The Case For Using Project Level Data To Study Aid Distribution And Impact
/2008/11/post_139.html,198,1.33,0:01:40,74.36%,76.92%,2008,11,NA,Post 139
/2010/01/a_funny_thing_happened_on_the.html,198,1,0:00:00,23.08%,100.00%,2010,01,NA,A Funny Thing Happened On The
/2010/03/the_conventional_wisdom_isnt_a.html,198,1.08,0:00:08,82.05%,97.44%,2010,03,NA,The Conventional Wisdom Isnt A
/2010/11/oil_ploughs_and_gender_roles.html,198,1.49,0:01:01,84.62%,82.05%,2010,11,NA,Oil Ploughs And Gender Roles
