Landing Page,Visits,Pages/Visit,Avg. Time on Site,% New Visits,Bounce Rate
/2009/04/the_tripling_of_the_money_supp.html,213,1.17,0:00:32,88.10%,88.10%
/2009/07/politics_everywhere_tdf_editio.html,213,1.02,0:00:02,78.57%,97.62%
/2009/09/are_republicans_now_officially.html,213,1.14,0:00:48,90.48%,85.71%
/blog/2011/05/25/do-early-polls-predict-anything/,213,1.26,0:00:53,83.33%,88.10%
/blog/2011/08/25/crowd-sourcing-a-bibliography-social-media-and-protest/,213,1.19,0:00:22,23.81%,85.71%
/blog/2012/01/25/if-the-republican-candidates-were-john-hughes-characters/,213,1.24,0:01:26,92.86%,80.95%
/2009/08/greg_mankiw_hearts_genetic_det.html,208,1.17,0:00:21,80.49%,85.37%
/2010/12/political_implications_of_the_.html,208,1.12,0:01:16,85.37%,90.24%
/2010/12/the_shifting_meaning_of_millio.html,208,1.12,0:00:18,78.05%,90.24%
/blog/2011/05/26/how-political-science-can-help-journalists-and-still-let-them-be-journalists/,208,2.22,0:01:19,46.34%,87.80%
/2008/02/conservative_and_liberal_blogg.html,203,1.22,0:00:54,80.00%,87.50%
/2008/04/a_monkey_cage_exclusive_mri_of.html,203,1.18,0:00:14,90.00%,90.00%
/2008/06/ranking_states_by_the_liberali.html,203,1.22,0:01:07,60.00%,82.50%
/2009/10/scozzafava_is_a_conservative_r.html,203,1.12,0:00:22,87.50%,90.00%
/2010/05/the_best_three_years_of_my_lif.html,203,1.05,0:00:23,25.00%,95.00%
/2010/10/why_divided_government_is_bad_.html,203,1.08,0:00:17,97.50%,92.50%
/2010/11/2010_was_a_pretty_good_year_fo.html,203,1.08,0:00:06,80.00%,92.50%
/blog/2011/06/27/political-science-and-gay-marriage-in-new-york/,203,1.08,0:00:20,87.50%,92.50%
/blog/2011/08/07/script-doctor/,203,1.53,0:00:37,72.50%,55.00%
/blog/2012/02/16/the-case-for-using-project-level-data-to-study-aid-distribution-and-impact/,203,1.55,0:01:00,92.50%,67.50%
/2008/11/post_139.html,198,1.33,0:01:40,74.36%,76.92%
/2010/01/a_funny_thing_happened_on_the.html,198,1,0:00:00,23.08%,100.00%
/2010/03/the_conventional_wisdom_isnt_a.html,198,1.08,0:00:08,82.05%,97.44%
/2010/11/oil_ploughs_and_gender_roles.html,198,1.49,0:01:01,84.62%,82.05%
/2011/04/the_1995-96_shutdowns_and_appr.html,198,1.21,0:00:35,97.44%,82.05%
/2011/05/fixing-congress-suggestions-by-rep-jim-cooper-and-others-2/,198,1.15,0:01:45,89.74%,89.74%
/blog/2011/02/08/the_invisible_american_welfare/,198,1.28,0:00:35,69.23%,79.49%
/blog/2011/10/12/barack-obama-is-a-negative-campaigner/,198,1.08,0:00:39,87.18%,92.31%
/blog/2012/01/11/why-is-inequality-higher-in-america/,198,1.18,0:00:33,76.92%,87.18%
/2010/04/the_ideology_of_john_paul_stev.html,193,1.21,0:00:46,78.95%,78.95%
/2010/05/why_cant_political_science_gra.html,193,1.26,0:00:21,76.32%,89.47%
/2010/10/an_anthropologist_on_political.html,193,1.13,0:01:05,57.89%,92.11%
/2011/01/academia_as_a_meritocracy_a_re.html,193,1.29,0:01:04,81.58%,73.68%
/blog/2011/05/13/fixing-congress-suggestions-by-rep-jim-cooper-and-others-2/,193,1.11,0:01:01,60.53%,92.11%
/blog/2011/07/01/does-july-4th-make-children-become-republicans/,193,1.16,0:00:12,86.84%,92.11%
/blog/2011/08/02/the-red-queen-goes-to-war/,193,1.37,0:00:49,76.32%,76.32%
/blog/2011/10/24/why-now-micro-transitions-and-the-arab-uprisings/,193,1.05,0:00:04,71.05%,94.74%
/2008/02/early_returns_in_texas.html,188,1.46,0:01:22,91.89%,72.97%
/2008/06/post_94.html,188,1.19,0:00:48,100.00%,86.49%
/2009/05/a_new_kind_of_spam.html,188,1.14,0:00:11,67.57%,86.49%
/2009/05/what_is_politics.html,188,1.16,0:00:14,86.49%,86.49%
/2009/07/who_wants_to_be_a_political_sc.html,188,1.14,0:00:13,72.97%,89.19%
/blog/2011/06/07/who-is-the-gops-most-electable-candidate/,188,1.24,0:00:57,78.38%,86.49%
/blog/2011/07/12/a-budget-deal-and-2012/,188,1.27,0:01:09,78.38%,83.78%
/blog/2011/08/11/mapping-the-super-committee/,188,1.49,0:01:27,89.19%,81.08%
/blog/2012/01/10/the-president-needs-help-happy-birthday-brownlow-report/,188,1.05,0:00:39,70.27%,94.59%
/2007/11/the_enduring_importance_of_fal.html,183,1.08,0:00:08,13.89%,91.67%
/2009/11/coburn_amendment_fails.html,183,1.06,0:00:05,75.00%,94.44%
/2010/10/regression_to_the_mean_is_fine.html,183,1.08,0:00:45,77.78%,91.67%
/2010/12/writers_block.html,183,1.08,0:00:09,88.89%,91.67%
/2011/01/books_on_the_global_financial_.html,183,1.06,0:00:10,77.78%,94.44%
/2011/01/the_united_states_of_awesome.html,183,1.19,0:00:18,88.89%,86.11%
/blog/2011/07/13/who-are-the-authorities-in-international-relations-scholarship/,183,1.17,0:00:22,88.89%,83.33%
/2008/03/fathers_daughters_and_roll_cal.html,178,1.06,0:00:00,85.71%,94.29%
/2008/07/leftright_ideology_of_voters_c.html,178,1.4,0:01:02,62.86%,71.43%
/2009/09/political_science_tastes_bette.html,178,1.46,0:00:43,77.14%,68.57%
/2010/01/the_racial_dimension_of_the_ma.html,178,1.2,0:00:25,80.00%,85.71%
/2010/04/the_right_creates_financial_cr.html,178,1.34,0:01:08,80.00%,85.71%
/2010/07/should_we_care_about_failed_an.html,178,1.17,0:00:25,71.43%,82.86%
/2010/08/john_judis_cant_make_up_his_mi.html,178,1.11,0:00:12,80.00%,94.29%
/2010/08/social_highlighting.html,178,1.17,0:00:09,77.14%,82.86%
/2010/08/why_do_more_people_think_obama.html,178,1.31,0:01:55,88.57%,82.86%
/2010/12/_unequal_democracy__is_what_go.html,178,1.63,0:02:22,62.86%,62.86%
/blog/2011/11/11/the-voting-paradox-explained-why-people-vote/,178,1.17,0:00:19,80.00%,91.43%
/blog/2011/11/21/forecasting-the-supreme-court-vote-on-obamacare/?wpisrc=nl_wonk,178,1.4,0:00:51,91.43%,77.14%
/2009/11/did_acorn_steal_the_election.html,173,1,0:00:00,85.29%,100.00%
/2010/01/politics_everywhere_the_length.html,173,1.18,0:00:09,76.47%,85.29%
/2010/02/the_bad_ass_theory_of_why_dict.html,173,1.21,0:00:36,79.41%,88.24%
/2010/11/no_kudos_to_the_new_republic.html,173,1.24,0:00:20,91.18%,85.29%
/2010/11/weekend_frivolity_a_childs_his.html,173,1.12,0:00:12,91.18%,91.18%
/2008/08/post_114.html,168,1.09,0:00:58,69.70%,90.91%
/2009/01/obama_wins_have_we_political_s.html,168,1.67,0:03:26,39.39%,78.79%
/2009/07/post_216.html,168,1.45,0:01:24,81.82%,87.88%
/2009/08/interest_groups_and_strange_be.html,168,1.24,0:00:53,87.88%,87.88%
/2009/08/similarities_between_left_wing.html,168,1.18,0:00:42,81.82%,90.91%
/2010/02/do_fair_elections_signal_weakn.html,168,1.24,0:01:05,90.91%,84.85%
/2010/04/measuring_epistemic_closure.html,168,1.27,0:00:33,66.67%,78.79%
/2010/11/the_forecasts_and_the_outcome.html,168,1.52,0:00:47,78.79%,63.64%
/2010/12/can_someone_please_report_this.html,168,1.15,0:00:40,93.94%,87.88%
/2011/02/what_eastern_europe_teaches_us.html,168,1.03,0:00:09,72.73%,96.97%
/2011/04/irritating_pseudo-populism_bac.html,168,1.42,0:02:38,60.61%,72.73%
/blog/2012/02/12/a-mere-political-scientist-or-merely-hot/,168,1.55,0:01:16,93.94%,69.70%
/2009/06/visualization_of_estimated_ide.html,162,1.31,0:00:37,53.12%,90.62%
/2009/08/is_the_supreme_court_conservat.html,162,1.22,0:01:33,78.12%,90.62%
/2009/08/well_how_did_we_get_here_the_r.html,162,1.19,0:00:18,81.25%,90.62%
/2009/10/the_imbalanced_lobbying_system.html,162,1.25,0:01:10,75.00%,81.25%
/2010/02/media_bias_in_the_2008_electio.html,162,1.09,0:00:20,84.38%,90.62%
/2010/03/weekend_frivolity_healthcare_m.html,162,1.22,0:00:46,87.50%,87.50%
/2010/08/latinos_immigration_and_the_go_1.html,162,1.06,0:00:11,78.12%,96.87%
/2011/03/comparing_apples_with_cows.html,162,1.09,0:00:40,65.62%,93.75%
/2011/05/how-much-did-the-pakistani-militarygovernment-know/,162,1.09,0:01:15,90.62%,90.62%
/blog/2011/05/19/epistemic-closure-among-french-socialists/,162,1.53,0:00:46,71.88%,71.88%
/blog/2011/10/25/tunisia-post-election-report-ii-free-fair-and-meaningful/,162,1.16,0:01:06,18.75%,87.50%
/blog/2011/10/28/the-worlds-most-bizarre-political-ads/,162,1.16,0:00:17,75.00%,84.38%
/blog/2012/02/14/polisci-valentines-contest/,162,1.31,0:01:23,75.00%,75.00%
/2009/03/post_177.html,157,1.26,0:00:53,87.10%,83.87%
/2010/01/scott_brown_is_a_liberal_repub.html,157,1.26,0:00:41,90.32%,83.87%
/2010/12/w.html,157,1.32,0:01:34,74.19%,74.19%
/2011/01/jfks_grades_in_political_scien.html,157,1.06,0:00:07,87.10%,93.55%
/2011/01/sources_for_information_on_pro.html,157,1.26,0:01:09,77.42%,77.42%
/2011/05/the-political-relevance-of-the-internet-in-developing-countries/,157,1.26,0:00:25,83.87%,87.10%
/blog/2011/05/12/the-monkey-cage-named-blog-of-the-year/,157,2.68,0:02:14,87.10%,51.61%
/blog/2011/08/08/a-simple-theory-of-why-didnt-obama-come-out-fighting-in-2009/,157,1.16,0:01:16,90.32%,83.87%
/blog/2011/08/08/mischaracterizing-fdr-to-indict-obama/,157,1.71,0:02:04,83.87%,67.74%
/blog/2011/10/24/occupy-online-facebook-and-the-spread-of-occupy-wall-street/,157,1.16,0:00:46,74.19%,90.32%
/2008/08/the_ten_most_wanted.html,152,1.07,0:00:58,33.33%,96.67%
/2009/07/holiday_reading.html,152,1.23,0:00:28,70.00%,86.67%
/2009/11/a_majority_of_the_public_suppo.html,152,1,0:00:00,73.33%,100.00%
/2010/03/coin_and_selection_effects.html,152,1.5,0:00:38,70.00%,83.33%
/2010/03/learning_the_hard_way_the_marc.html,152,1,0:00:00,43.33%,100.00%
/2010/03/reforming_the_senate_1_reviewi.html,152,1.63,0:02:51,80.00%,66.67%
/2010/08/on_limiting_the_tenure_of_supr.html,152,1.47,0:01:20,80.00%,66.67%
/2010/09/congressional_wealth_and_oppos.html,152,1.1,0:00:34,56.67%,93.33%
/2010/09/waves_are_for_surfing.html,152,1.27,0:00:31,66.67%,86.67%
/2011/02/how_al_jazeera_shapes_politica.html,152,1.3,0:00:28,90.00%,90.00%
/2011/02/the_rise_of_the_guardian_coup.html,152,1.27,0:01:20,86.67%,76.67%
/blog/2011/05/24/red-brain-blue-brain/,152,1.43,0:01:21,80.00%,73.33%
/blog/2011/08/04/moving-from-the-debt-ceiling-debate-to-2012/,152,1.13,0:00:40,80.00%,90.00%
/blog/2011/10/29/sigh-drew-westen-again/,152,1.4,0:01:41,80.00%,80.00%
/blog/2012/02/16/the-facts-about-tax-progressivity/,152,1,0:00:00,90.00%,100.00%
/2009/03/ivory_tower_unswayed_by_crashi.html,147,1.21,0:02:15,93.10%,79.31%
/2009/08/kolakowskis_general_theory_of.html,147,1.41,0:00:51,72.41%,79.31%
/2010/02/the_obama_agenda_2010_small_ch.html,147,1.07,0:01:04,55.17%,93.10%
/2010/10/closer_races_and_cell_phones_i.html,147,1.03,0:00:04,58.62%,96.55%
/2011/01/women_in_the_news_in_2010.html,147,1.07,0:00:22,86.21%,93.10%
/blog/2011/06/09/all-politics-is-loco/,147,2.45,0:02:47,75.86%,34.48%
